brand,price,type,colour,msoffice,RAM,RAMtype,SSD,SSDCap,HDDCap,ProcessorBrand,ProcessorName,ProcessorVariant,ClockSpeed,GPU,GPUramtype,GPUramcap,OS,Touchscreen,Screensize,Screenreso,refreshrate,Bluetooth,Weight,BacklitKB,warranty
Acer,"₹31,990",Thin and Light Laptop,Silver,No,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1155G7,2.50GHz with Turbo boost upto 4.5GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.0,1.49 Kg,Yes,1 Year Onsite Warranty
ZEBRONICS,"₹25,990",Thin and Light Laptop,Blue,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1215U,Max Turbo Frequency upto 4.4GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 X 1080 Pixel,60,v5.0,1.76 Kg,No,1 Year Carry-in Warranty
CHUWI,"₹27,990",2 in 1 Laptop,Grey,No,12 GB,LPDDR4,Yes,512 GB,No,Intel,Core i3,Intel Core i3-1215U,2.8GHz,Intel Integrated Intel UHD Graphics,GDDR3,2 GB,Windows 11 Home,Yes,34.29 cm (13.5 inch),2256x1504 pixel,60,5.2,1340 g,Yes,1 Year Onsite Warranty
Infinix,"₹25,990",Thin and Light Laptop,Blue,No,8 GB,LPDDR4X,Yes,256 GB,No,Intel,Core i3,1115G4,MaxTurbo Frequency up to 4.10GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v 5.1,1.58 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹39,990",Thin and Light Laptop,Green Grey,Yes,8 GB,LPDDR5,Yes,512 GB,No,AMD,Ryzen 3 Quad Core,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.63 Kg,No,1 Year Onsite Warranty
ASUS,"₹24,990",Thin and Light Laptop,Star Black,Yes,8 GB,DDR4,Yes,256 GB,No,Intel,Celeron Dual Core,N4020,1.10GHz Upto 2.80GHz,Intel Integrated Integrated,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v4.1,1.57 kg,No,1 Year Onsite Warranty
ZEBRONICS,"₹25,990",Thin and Light Laptop,Space Grey,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1215U,Max Turbo Frequency upto 4.4GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,60,v5.0,1.76 Kg,No,1 Year Carry-in Warranty
HP,"₹50,379",Thin and Light Laptop,Natural Silver,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1155G7,Upto 4.50GHz,Intel Integrated Integrated,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.69 Kg,Yes,1 Year Onsite Warranty
HP,"₹67,990",Gaming Laptop,Performance Blue,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,12450H,3.3 GHz upto max turbo frequency at 4.4 Ghz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.3,2.37 Kg,Yes,1 Year Onsite Warranty
WINGS,"₹19,990",Thin and Light Laptop,Silver,No,8 GB,DDR4,Yes,256 GB,No,Intel,Core i3,1125G4,2.00GHz with Turbo boost upto 3. 7GHz,Intel Integrated UHD,DDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1020 Pixel,60,Yes,1.60 Kg,No,1 Year Onsite Warranty
