brand,type,msoffice,RAM,SSDCap,HDDCap,GPU,OS,Touchscreen,refreshrate,Weight,BacklitKB,warranty,price,PPI,Processor
ASUS,Gaming Laptop,1,8,512,0,NVIDIA GeForce RTX 2050,Windows 11 Home,0,144,1.8,1,1,48990.0,141.21199808219862,AMD Ryzen 5 Hexa Core
Infinix,Thin and Light Laptop,0,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.24,0,1,36990.0,157.3505121487356,Intel Core i5
ASUS,Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.88,0,1,52990.0,141.21199808219862,Intel Core i5
Acer,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.78,0,1,32790.0,141.21199808219862,AMD Ryzen 5 Quad Core
HP,Gaming Laptop,1,16,512,0,NVIDIA GeForce RTX 3050,Windows 11 Home,0,60,2.37,1,1,67990.0,141.21199808219862,Intel Core i5
ASUS,Thin and Light Laptop,1,16,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.7,0,1,39990.0,141.21199808219862,Intel Core i3
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.69,0,1,28990.0,141.21199808219862,Intel Celeron Dual Core
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated Graphics,Windows 11 Home,0,60,1.41,0,1,38490.0,157.3505121487356,Intel Core i3
Acer,Thin and Light Laptop,0,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.59,0,1,34790.0,141.21199808219862,AMD Ryzen 5 Hexa Core
ASUS,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.63,0,1,33990.0,141.21199808219862,AMD Ryzen 3 Quad Core
Lenovo,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.65,1,1,49980.0,141.21199808219862,Intel Core i5
MSI,Gaming Laptop,0,16,256,1024,NVIDIA GeForce GTX 1650,Windows 11 Home,0,60,1.86,0,2,57990.0,141.21199808219862,Intel Core i7
